Full.Name,Group,Exposure,Starting,Treatment,Basal.1,Basal.2,Basal.3,Glucose.1,Glucose.2,Glucose.3,Oligomycin.1,Oligomycin.2,Oligomycin.3,FCCP.1,FCCP.2,FCCP.3,Rot/Aa.1,Rot/Aa.2,Rot/Aa.3
M0_Vehicle_Donor_1,Vehicle,Vehicle,M0,M0_Vehicle,49.16731499,47.49272302,46.45804375,38.96802975,38.73549665,38.53317025,11.52710918,12.5105867,11.6186178,41.90691488,48.30310735,53.41672539,8.042960222,9.211889252,8.445418899
M0_Vehicle_Donor_2,Vehicle,Vehicle,M0,M0_Vehicle,51.4549467,48.95206486,47.89973161,37.61935197,38.02003628,37.8778591,12.83435941,12.82134221,12.2974568,55.07276303,55.57734189,59.98734379,9.821569786,10.64574914,10.0197219
M0_Vehicle_Donor_3,Vehicle,Vehicle,M0,M0_Vehicle,47.84091052,36.5213175,32.73693515,29.09580672,28.18390392,27.92315902,11.19912974,11.72918687,10.8907118,24.13027594,27.8088429,31.67055275,8.581837956,8.579592848,8.389976743
M0_Vehicle_Donor_4,Vehicle,Vehicle,M0,M0_Vehicle,44.11269778,42.03603495,35.30696708,26.9002509,27.10445806,27.70769251,9.282415658,9.045045544,9.036228867,26.46936309,28.56158983,32.28138668,6.2668522,6.97605497,6.410521014
M0_Vehicle_Donor_5,Vehicle,Vehicle,M0,M0_Vehicle,40.38754132,38.27538922,37.92863251,34.57705497,34.43408611,34.44638178,11.64867704,11.35112841,11.65771094,39.65440774,41.74292531,46.20242212,8.493314898,9.278316616,8.723069823
M2_Vehicle_Donor_1,Vehicle,Vehicle,M2,M2_Vehicle,52.20244641,49.6933977,48.48276206,44.74620725,45.54675225,46.15609225,14.55508394,15.21069297,14.67369256,47.67766165,50.65107275,56.14300624,9.588572252,10.41554311,9.272502177
M2_Vehicle_Donor_2,Vehicle,Vehicle,M2,M2_Vehicle,78.54585301,73.89197963,71.8891507,63.52014556,64.50928371,65.00284425,21.50895606,22.28132907,21.61471535,74.10578666,72.44329285,78.44117165,13.66025259,15.51724787,14.5722437
M2_Vehicle_Donor_3,Vehicle,Vehicle,M2,M2_Vehicle,77.82500065,74.23543524,72.02537775,65.91371065,65.6421976,66.01947921,23.28223089,24.20016334,23.42832656,110.5601724,91.77295269,88.22591551,18.00356375,18.64363311,17.2800645
M2_Vehicle_Donor_4,Vehicle,Vehicle,M2,M2_Vehicle,55.34138126,53.58296692,51.20695546,46.37744526,47.24947509,47.83005874,16.44248602,16.13545976,16.37387826,53.27286133,52.98799144,57.57535478,12.56504538,13.30583862,12.90129166
M2_Vehicle_Donor_5,Vehicle,Vehicle,M2,M2_Vehicle,50.86471349,48.98359686,48.2709989,46.05360558,46.21531708,46.06656226,16.22783825,16.32217009,16.62664394,46.92204628,49.07568484,53.20626413,11.31795135,11.98341152,11.46334814
M0_DEP_Donor_1,DEP,DEP,M0,M0_DEP,27.53875279,26.93115499,25.43628049,28.13088621,29.85176125,29.91934142,10.61205991,11.17439779,10.26955817,26.17019521,29.22673141,30.3064073,4.961479555,8.330196809,4.16881813
M0_DEP_Donor_2,DEP,DEP,M0,M0_DEP,44.65896456,41.98718261,40.85638373,33.60551005,34.55403096,34.63218436,10.14271669,10.31376039,10.08933116,45.13713923,45.35952699,48.68506122,6.408881119,7.502777781,7.228585539
M0_DEP_Donor_3,DEP,DEP,M0,M0_DEP,46.69632733,44.73893856,43.8975224,38.6708644,38.62977116,38.58116422,13.35042377,13.12882514,12.6415368,48.68935062,51.8556968,53.02491211,9.084997767,9.714819187,9.370537067
M0_DEP_Donor_4,DEP,DEP,M0,M0_DEP,44.20191065,43.60181299,35.74564966,31.41137862,33.11643462,33.30657677,8.554710315,8.908641988,8.807549919,40.47118479,43.60332637,45.70171863,5.049285659,6.152056123,5.958469059
M0_DEP_Donor_5,DEP,DEP,M0,M0_DEP,34.56782716,32.99621102,33.76106229,34.04409707,33.4204095,33.20735074,14.04450776,13.1207088,13.30018863,37.21885312,42.48901736,43.99584478,9.479255534,9.233796967,8.561211424
M2_DEP_Donor_1,DEP,DEP,M2,M2_DEP,41.69194317,40.20408279,38.88716307,38.20332893,38.95671748,39.03007313,12.4610364,13.4962924,13.09456994,46.13269709,52.23908683,53.45575116,6.256536937,8.00037414,7.042523754
M2_DEP_Donor_2,DEP,DEP,M2,M2_DEP,70.85027787,66.41560738,65.12204102,59.05713148,59.42061608,59.36017343,19.29506911,20.3511834,19.81017925,106.4957521,96.14132736,92.29235815,10.92377058,13.19207316,12.2628839
M2_DEP_Donor_3,DEP,DEP,M2,M2_DEP,55.3330416,52.23407092,50.57264901,46.36351253,46.41214152,46.02819345,15.22831304,16.26217605,15.99753652,51.57195406,54.20014845,52.36475006,9.819581851,10.80801631,10.28445503
M2_DEP_Donor_4,DEP,DEP,M2,M2_DEP,52.61027957,51.50587143,49.37304394,46.24528636,47.76978516,48.05517753,15.10120318,15.98591919,15.98523981,61.58101878,61.70985665,62.87025002,8.879545982,10.55716976,10.82379355
M2_DEP_Donor_5,DEP,DEP,M2,M2_DEP,43.99655102,42.64046989,42.46479655,41.09784006,41.41491167,41.51116626,14.4992969,14.79276719,14.87687059,44.66106737,45.33865952,45.89822544,8.487331067,9.507048245,9.336095196
M0 -> M1_Donor_1,Vehicle,M1,M0,M0 -> M1,45.28969547,44.2252959,43.83714867,40.97411531,41.45207036,42.40059785,16.3648374,16.13487653,33.25050624,37.96233344,42.8004173,62.52507951,21.54735068,20.86774351,19.71131325
M0 -> M1_Donor_2,Vehicle,M1,M0,M0 -> M1,61.89298344,59.61635361,59.24148653,47.19486198,49.00037033,49.95370845,18.48019316,18.67193369,17.89712662,51.2244367,49.34591875,54.64465828,12.81081467,13.64018639,13.46936463
M0 -> M1_Donor_3,Vehicle,M1,M0,M0 -> M1,61.89647281,59.89463858,59.03313825,49.5027921,50.28085333,50.40349964,18.77015896,18.69079088,17.95593786,40.85780322,43.98786799,51.44228467,13.3738707,12.87254154,12.44107739
M0 -> M1_Donor_4,Vehicle,M1,M0,M0 -> M1,53.74784526,52.17767808,50.43060769,41.26391925,43.62422316,45.25203965,15.27639826,14.72721957,14.47760191,34.95360476,37.37487878,43.30925352,9.714120973,10.07089976,10.09192923
M0 -> M1_Donor_5,Vehicle,M1,M0,M0 -> M1,49.45745013,47.04778817,47.08506075,43.36024384,43.9481379,44.68940305,16.3551201,15.49610625,15.49154492,31.27267814,33.82719364,38.91024325,11.13419217,11.4307127,10.88142951
M2 -> M1_Donor_1,Vehicle,M1,M2,M2 -> M1,44.66832268,44.24502028,41.91946232,40.76660043,40.40303344,42.40347497,17.05163243,17.87464994,16.79675857,49.55324247,48.41189652,52.97995471,10.85590182,10.22060571,9.690807513
M2 -> M1_Donor_2,Vehicle,M1,M2,M2 -> M1,64.13611738,61.74683922,60.86400378,46.13712203,47.16550326,47.71424454,20.36966652,20.92831673,20.53895124,65.83944575,69.54786329,76.13398886,14.35773117,15.62833058,15.34267082
M2 -> M1_Donor_3,Vehicle,M1,M2,M2 -> M1,68.62469458,67.12410014,66.62503862,55.67454521,56.03698766,56.71617283,22.42629202,21.9358604,21.43994228,54.29423178,61.31721826,69.44314811,14.35867322,15.65010031,13.92788117
M2 -> M1_Donor_4,Vehicle,M1,M2,M2 -> M1,74.29052982,72.73548969,70.22582583,53.67153473,57.00607212,59.26716049,21.50511629,21.12763954,21.41118851,48.40479856,53.63387183,60.28687288,10.80110776,11.38163987,10.87597176
M2 -> M1_Donor_5,Vehicle,M1,M2,M2 -> M1,61.77115523,59.36273108,60.34850283,56.30045049,58.63527831,58.12193585,22.46285406,22.11447777,22.07183349,38.62536636,43.32203216,48.5703339,13.08683014,14.1701457,13.11399033
M0 -> M1+DEP_Donor_1,DEP,M1+DEP,M0,M0 -> M1+DEP,33.85753256,30.84582541,29.47244402,30.13787716,32.16395963,33.31372736,17.55424588,18.62370111,17.74939243,33.27824102,30.81507936,29.01724825,9.315655138,10.0261917,8.595885257
M0 -> M1+DEP_Donor_2,DEP,M1+DEP,M0,M0 -> M1+DEP,58.60585599,55.61596351,54.99229519,51.41942549,52.97640846,53.2767352,18.258877,19.09479744,19.03954247,49.93685061,48.51162007,49.35990713,12.49107471,12.76514558,12.26605835
M0 -> M1+DEP_Donor_3,DEP,M1+DEP,M0,M0 -> M1+DEP,58.55393748,57.41209992,56.61389304,55.26128181,55.95334127,56.63329887,21.7826031,21.54405892,21.63273666,45.38011499,47.95220079,50.32011975,13.59513396,12.81053952,12.55828066
M0 -> M1+DEP_Donor_4,DEP,M1+DEP,M0,M0 -> M1+DEP,66.30877759,65.88476288,62.75805858,57.42411597,59.65573617,61.18092853,23.07290756,22.82320455,23.46895686,51.34193942,53.80942507,58.2628217,14.48704585,15.16431403,14.26917073
M0 -> M1+DEP_Donor_5,DEP,M1+DEP,M0,M0 -> M1+DEP,53.40065593,45.66593143,49.85353373,47.30981825,48.25825361,50.40994834,19.23615936,18.24793156,19.61125957,36.58878629,38.95449647,42.21181092,12.68727869,13.36545238,12.58547098
M2 -> M1+DEP_Donor_1,DEP,M1+DEP,M2,M2 -> M1+DEP,53.52344589,51.80342176,50.88952785,47.32575444,49.40583844,49.63239405,21.66268897,22.55670258,21.70899736,63.30757853,63.7459908,59.6451896,12.20740387,13.35553689,11.87531475
M2 -> M1+DEP_Donor_2,DEP,M1+DEP,M2,M2 -> M1+DEP,75.20955176,71.33438057,69.63026486,63.81802486,65.3678094,65.80526695,25.24242997,25.11831005,24.80785986,77.3234219,76.85919814,80.66257823,15.10913629,16.79866809,16.07391829
M2 -> M1+DEP_Donor_3,DEP,M1+DEP,M2,M2 -> M1+DEP,88.71310785,85.75517106,84.62773208,82.18704826,83.51681213,84.21073179,31.42192154,31.77728231,31.24556632,76.07938727,73.08029608,77.70128437,21.49088904,21.47526037,20.740513
M2 -> M1+DEP_Donor_4,DEP,M1+DEP,M2,M2 -> M1+DEP,84.26075322,83.15048287,80.78290608,71.81707528,73.9384679,75.83088983,24.39287018,24.86982015,25.34462169,72.41677681,75.21656175,80.83009931,14.09229025,15.79955163,14.97492171
M2 -> M1+DEP_Donor_5,DEP,M1+DEP,M2,M2 -> M1+DEP,63.57605532,61.03516001,61.60500983,60.2174653,61.25525561,61.85457846,23.49581956,23.47518207,24.53658425,48.99587229,51.75508204,56.52390194,15.16324823,16.67530981,15.06857192
